gen-r5c;-1;2024-05-11 21:02:39 UTC;LINUX-RESTART	(4 CPU)
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
gen-r5c;10;2024-05-11 21:04:20 UTC;-1;53.63;0.00;42.12;0.02;0.00;1.96;0.99;0.00;0.00;1.27
gen-r5c;10;2024-05-11 21:04:20 UTC;0;52.68;0.00;42.64;0.00;0.00;1.99;1.09;0.00;0.00;1.59
gen-r5c;10;2024-05-11 21:04:20 UTC;1;54.33;0.00;41.89;0.00;0.00;1.89;0.90;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:04:20 UTC;2;52.39;0.00;43.14;0.10;0.00;1.99;0.99;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:04:20 UTC;3;55.12;0.00;40.80;0.00;0.00;1.99;1.00;0.00;0.00;1.09
gen-r5c;10;2024-05-11 21:04:30 UTC;-1;51.89;0.00;43.97;0.02;0.00;1.99;1.00;0.00;0.00;1.12
gen-r5c;10;2024-05-11 21:04:30 UTC;0;52.64;0.00;42.77;0.00;0.00;2.09;1.10;0.00;0.00;1.40
gen-r5c;10;2024-05-11 21:04:30 UTC;1;54.03;0.00;41.99;0.10;0.00;1.99;1.00;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:04:30 UTC;2;50.15;0.00;45.96;0.00;0.00;1.89;1.00;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:04:30 UTC;3;50.75;0.00;45.16;0.00;0.00;1.99;0.90;0.00;0.00;1.20
gen-r5c;10;2024-05-11 21:04:40 UTC;-1;55.96;0.00;39.35;0.05;0.00;2.00;0.95;0.00;0.00;1.70
gen-r5c;10;2024-05-11 21:04:40 UTC;0;57.88;0.00;37.13;0.00;0.00;2.20;0.90;0.00;0.00;1.90
gen-r5c;10;2024-05-11 21:04:40 UTC;1;53.75;0.00;41.56;0.00;0.00;1.90;1.00;0.00;0.00;1.80
gen-r5c;10;2024-05-11 21:04:40 UTC;2;58.33;0.00;37.59;0.10;0.00;1.99;0.90;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:04:40 UTC;3;53.88;0.00;41.14;0.10;0.00;1.89;1.00;0.00;0.00;1.99
gen-r5c;10;2024-05-11 21:04:50 UTC;-1;49.59;0.00;46.02;0.02;0.00;1.97;1.05;0.00;0.00;1.35
gen-r5c;10;2024-05-11 21:04:50 UTC;0;51.45;0.00;43.84;0.10;0.00;2.10;1.10;0.00;0.00;1.40
gen-r5c;10;2024-05-11 21:04:50 UTC;1;49.20;0.00;46.61;0.00;0.00;1.99;1.00;0.00;0.00;1.20
gen-r5c;10;2024-05-11 21:04:50 UTC;2;50.75;0.00;44.57;0.00;0.00;1.89;1.10;0.00;0.00;1.69
gen-r5c;10;2024-05-11 21:04:50 UTC;3;46.96;0.00;49.05;0.00;0.00;1.89;1.00;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:05:00 UTC;-1;56.15;0.00;39.76;0.15;0.00;2.02;0.92;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:05:00 UTC;0;57.03;0.00;38.68;0.20;0.00;2.19;0.90;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:05:00 UTC;1;55.33;0.00;40.68;0.20;0.00;1.89;0.90;0.00;0.00;1.00
gen-r5c;10;2024-05-11 21:05:00 UTC;2;55.13;0.00;40.78;0.10;0.00;1.99;0.90;0.00;0.00;1.10
gen-r5c;10;2024-05-11 21:05:00 UTC;3;57.11;0.00;38.91;0.10;0.00;1.99;1.00;0.00;0.00;0.90
gen-r5c;10;2024-05-11 21:05:10 UTC;-1;61.13;0.00;34.67;0.07;0.00;2.01;0.84;0.00;0.00;1.27
gen-r5c;10;2024-05-11 21:05:10 UTC;0;63.68;0.00;31.44;0.00;0.00;2.09;0.80;0.00;0.00;1.99
gen-r5c;10;2024-05-11 21:05:10 UTC;1;61.87;0.00;34.36;0.10;0.00;1.99;0.79;0.00;0.00;0.89
gen-r5c;10;2024-05-11 21:05:10 UTC;2;60.64;0.00;35.69;0.10;0.00;1.99;0.89;0.00;0.00;0.70
gen-r5c;10;2024-05-11 21:05:10 UTC;3;58.35;0.00;37.18;0.10;0.00;1.99;0.89;0.00;0.00;1.49
gen-r5c;10;2024-05-11 21:05:20 UTC;-1;59.05;0.00;36.69;0.10;0.00;1.99;0.82;0.00;0.00;1.34
gen-r5c;10;2024-05-11 21:05:20 UTC;0;61.21;0.00;33.83;0.10;0.00;2.18;0.79;0.00;0.00;1.88
gen-r5c;10;2024-05-11 21:05:20 UTC;1;57.37;0.00;38.45;0.00;0.00;1.89;0.90;0.00;0.00;1.39
gen-r5c;10;2024-05-11 21:05:20 UTC;2;57.91;0.00;38.41;0.20;0.00;1.89;0.80;0.00;0.00;0.80
