arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
arm;10;2024-05-12 14:45:01;-1;1.20;0.00;0.80;0.20;0.00;0.70;2.04;0.00;0.00;95.06
arm;10;2024-05-12 14:45:11;-1;1.35;0.00;0.90;0.03;0.00;0.75;1.99;0.00;0.00;94.97
arm;10;2024-05-12 14:45:21;-1;1.14;0.00;0.75;0.07;0.00;0.65;1.94;0.00;0.00;95.46
arm;10;2024-05-12 14:45:31;-1;1.18;0.00;0.93;0.28;0.00;0.72;2.07;0.00;0.00;94.82
arm;10;2024-05-12 14:45:41;-1;1.37;0.00;0.92;0.10;0.00;0.73;2.05;0.00;0.00;94.83
arm;10;2024-05-12 14:45:51;-1;1.58;0.00;1.28;0.40;0.00;0.72;1.77;0.00;0.00;94.25
arm;10;2024-05-12 14:46:01;-1;1.24;0.00;1.00;0.03;0.00;0.67;1.79;0.00;0.00;95.28
arm;10;2024-05-12 14:46:11;-1;1.49;0.00;1.02;0.03;0.00;0.70;1.95;0.00;0.00;94.81
arm;10;2024-05-12 14:46:21;-1;1.28;0.00;0.92;0.05;0.00;0.72;2.02;0.00;0.00;95.01
arm;10;2024-05-12 14:46:31;-1;1.18;0.00;0.95;0.08;0.00;0.73;2.09;0.00;0.00;94.96
arm;10;2024-05-12 14:46:41;-1;1.34;0.00;1.27;0.05;0.00;0.75;1.99;0.00;0.00;94.60
arm;10;2024-05-12 14:46:51;-1;1.38;0.00;0.85;0.02;0.00;0.72;2.04;0.00;0.00;94.99
arm;10;2024-05-12 14:47:01;-1;1.44;0.00;1.25;0.07;0.00;0.77;2.06;0.00;0.00;94.42
arm;10;2024-05-12 14:47:11;-1;1.44;0.00;0.99;1.09;0.00;0.74;1.94;0.00;0.00;93.82
arm;10;2024-05-12 14:47:21;-1;1.42;0.00;0.97;0.02;0.00;0.75;2.05;0.00;0.00;94.80
arm;10;2024-05-12 14:47:31;-1;1.45;0.00;1.10;0.02;0.00;0.77;2.02;0.00;0.00;94.64
arm;10;2024-05-12 14:47:42;-1;1.41;0.00;1.10;0.40;0.00;0.74;1.99;0.00;0.00;94.36
arm;10;2024-05-12 14:47:52;-1;1.23;0.00;0.95;0.03;0.00;0.73;2.10;0.00;0.00;94.94
arm;10;2024-05-12 14:48:02;-1;1.25;0.00;0.82;0.02;0.00;0.72;2.09;0.00;0.00;95.10
arm;10;2024-05-12 14:48:12;-1;1.37;0.00;0.90;0.38;0.00;0.75;2.07;0.00;0.00;94.53
arm;10;2024-05-12 14:48:22;-1;1.15;0.00;0.95;0.02;0.00;0.70;1.97;0.00;0.00;95.20
arm;10;2024-05-12 14:48:32;-1;1.34;0.00;0.90;0.03;0.00;0.72;2.00;0.00;0.00;95.01
arm;10;2024-05-12 14:48:42;-1;1.14;0.00;0.92;1.40;0.00;0.73;2.07;0.00;0.00;93.74
