# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
raspberrypi3-64;1;2018-03-09 20:02:37 UTC;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;10;2018-03-09 20:02:47 UTC;-1;0.08;0.00;0.28;0.03;0.00;0.00;0.00;0.00;0.00;99.62
raspberrypi3-64;10;2018-03-09 20:02:47 UTC;0;0.00;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:02:47 UTC;1;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:02:47 UTC;2;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:02:47 UTC;3;0.20;0.00;0.71;0.00;0.00;0.00;0.00;0.00;0.00;99.09
raspberrypi3-64;1;2018-03-09 20:02:48 UTC;-1;0.25;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;99.24
raspberrypi3-64;1;2018-03-09 20:02:48 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:48 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:48 UTC;2;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98
raspberrypi3-64;1;2018-03-09 20:02:48 UTC;3;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;10;2018-03-09 20:02:58 UTC;-1;0.08;0.00;0.20;0.03;0.00;0.00;0.00;0.00;0.00;99.70
raspberrypi3-64;10;2018-03-09 20:02:58 UTC;0;0.10;0.00;0.20;0.10;0.00;0.00;0.00;0.00;0.00;99.59
raspberrypi3-64;10;2018-03-09 20:02:58 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;10;2018-03-09 20:02:58 UTC;2;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.90
raspberrypi3-64;10;2018-03-09 20:02:58 UTC;3;0.20;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;99.29
raspberrypi3-64;1;2018-03-09 20:02:59 UTC;-1;0.51;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;1;2018-03-09 20:02:59 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:59 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:02:59 UTC;2;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98
raspberrypi3-64;1;2018-03-09 20:02:59 UTC;3;1.01;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;97.98
raspberrypi3-64;10;2018-03-09 20:03:09 UTC;-1;0.13;0.00;0.28;0.05;0.00;0.00;0.00;0.00;0.00;99.54
raspberrypi3-64;10;2018-03-09 20:03:09 UTC;0;0.10;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:03:09 UTC;1;0.00;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.00;99.80
raspberrypi3-64;10;2018-03-09 20:03:09 UTC;2;0.10;0.00;0.20;0.10;0.00;0.00;0.00;0.00;0.00;99.59
raspberrypi3-64;10;2018-03-09 20:03:09 UTC;3;0.30;0.00;0.71;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;1;2018-03-09 20:03:10 UTC;-1;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;99.49
raspberrypi3-64;1;2018-03-09 20:03:10 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:03:10 UTC;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
raspberrypi3-64;1;2018-03-09 20:03:10 UTC;2;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;98.98
raspberrypi3-64;1;2018-03-09 20:03:10 UTC;3;0.00;0.00;1.01;0.00;0.00;0.00;0.00;0.00;0.00;98.99
raspberrypi3-64;10;2018-03-09 20:03:20 UTC;-1;0.10;0.00;0.30;0.03;0.00;0.00;0.00;0.00;0.00;99.57
