# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
mz7010-som-base-2020-2;10;2024-05-15 00:07:33;-1;25.56;0.10;22.73;4.07;0.00;0.00;0.00;0.00;0.00;47.54
mz7010-som-base-2020-2;11;2024-05-15 00:07:43;-1;48.33;0.00;51.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:07:53;-1;23.89;0.00;26.38;0.00;0.00;0.00;0.00;0.00;0.00;49.73
mz7010-som-base-2020-2;10;2024-05-15 00:08:03;-1;51.64;0.00;42.21;4.46;0.00;0.00;0.00;0.00;0.00;1.69
mz7010-som-base-2020-2;10;2024-05-15 00:08:13;-1;49.85;0.00;50.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:08:24;-1;24.30;0.00;20.51;4.28;0.00;0.00;0.00;0.00;0.00;50.91
mz7010-som-base-2020-2;11;2024-05-15 00:08:34;-1;52.32;0.09;47.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:08:44;-1;27.57;0.00;31.15;0.00;0.00;0.00;0.00;0.00;0.00;41.28
mz7010-som-base-2020-2;10;2024-05-15 00:08:54;-1;43.04;0.10;44.87;4.26;0.00;0.00;0.00;0.00;0.00;7.73
mz7010-som-base-2020-2;11;2024-05-15 00:09:05;-1;51.80;0.00;48.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:09:15;-1;20.66;0.05;23.83;4.15;0.00;0.00;0.00;0.00;0.00;51.31
mz7010-som-base-2020-2;10;2024-05-15 00:09:25;-1;45.47;0.00;54.53;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:09:35;-1;30.93;0.00;34.76;0.00;0.00;0.00;0.00;0.00;0.00;34.31
mz7010-som-base-2020-2;10;2024-05-15 00:09:45;-1;40.84;0.10;38.66;4.37;0.00;0.00;0.00;0.00;0.00;16.03
mz7010-som-base-2020-2;11;2024-05-15 00:09:56;-1;46.31;0.24;53.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00
mz7010-som-base-2020-2;10;2024-05-15 00:10:06;-1;23.22;0.00;23.32;4.41;0.00;0.00;0.00;0.00;0.00;49.06
mz7010-som-base-2020-2;10;2024-05-15 00:10:16;-1;50.10;0.05;49.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00
