# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
mz7010-som-base-2020-2;10;2024-05-15 00:00:12;809604;820236;115112;11.19;15508;80040;659804;64.16;183112;13388;0;101016;8032;1040;1284;420
mz7010-som-base-2020-2;10;2024-05-15 00:00:22;662384;673044;262264;25.50;15532;80080;659844;64.17;330712;13388;0;248432;8036;1016;1580;420
mz7010-som-base-2020-2;10;2024-05-15 00:00:32;903708;914400;23084;2.24;15548;77948;224564;21.84;92396;11204;4;10044;8008;744;568;420
mz7010-som-base-2020-2;10;2024-05-15 00:00:42;662776;673472;261760;25.46;15564;80176;660132;64.20;330732;13388;0;248428;8020;1184;1544;420
mz7010-som-base-2020-2;11;2024-05-15 00:00:52;661080;671792;263404;25.62;15584;80220;659980;64.18;332076;13388;0;249624;8008;1072;1544;420
mz7010-som-base-2020-2;10;2024-05-15 00:01:03;851712;862400;72704;7.07;15608;80276;660024;64.19;140984;13392;0;58540;7996;1048;1148;420
mz7010-som-base-2020-2;10;2024-05-15 00:01:13;662224;672980;262148;25.49;15628;80312;660068;64.19;330976;13392;0;248472;7984;1008;1532;420
mz7010-som-base-2020-2;11;2024-05-15 00:01:23;903444;914236;23012;2.24;15648;78192;224792;21.86;92660;11208;4;10044;8000;736;576;420
mz7010-som-base-2020-2;10;2024-05-15 00:01:34;662784;673588;261408;25.42;15664;80420;660392;64.22;331084;13396;0;248464;8020;1136;1540;420
mz7010-som-base-2020-2;11;2024-05-15 00:01:44;661372;672192;262804;25.56;15684;80456;660216;64.20;332372;13396;0;249632;7980;1048;1576;420
mz7010-som-base-2020-2;10;2024-05-15 00:01:54;846648;857492;77416;7.53;15704;80512;660480;64.23;145516;13396;0;62744;8016;1272;1180;420
mz7010-som-base-2020-2;11;2024-05-15 00:02:05;662256;673120;261752;25.45;15724;80556;660304;64.21;331320;13400;0;248440;8008;1160;1536;420
mz7010-som-base-2020-2;10;2024-05-15 00:02:15;903020;913908;23120;2.25;15732;78416;225020;21.88;93048;11216;4;10044;8008;744;572;420
mz7010-som-base-2020-2;10;2024-05-15 00:02:25;662096;672996;261784;25.46;15756;80644;660616;64.24;331424;13400;0;248432;8016;1080;1576;420
mz7010-som-base-2020-2;10;2024-05-15 00:02:35;661836;672764;261984;25.48;15780;80688;660856;64.27;331436;13404;0;248444;8008;1016;1572;420
mz7010-som-base-2020-2;10;2024-05-15 00:02:45;865488;876444;58260;5.67;15804;80748;660684;64.25;127596;13404;0;44448;7996;968;1180;420
mz7010-som-base-2020-2;11;2024-05-15 00:02:56;661888;672860;261800;25.46;15824;80780;660524;64.23;331604;13404;0;248432;8004;1008;1516;420
mz7010-som-base-2020-2;10;2024-05-15 00:03:06;902640;913640;23160;2.25;15832;78652;225248;21.90;93432;11224;4;10044;8012;744;580;420
mz7010-som-base-2020-2;10;2024-05-15 00:03:16;661624;672628;261928;25.47;15852;80880;660616;64.24;331764;13408;0;248464;8012;1056;1524;420
mz7010-som-base-2020-2;11;2024-05-15 00:03:27;661372;672396;262120;25.49;15876;80924;660664;64.25;331808;13408;0;248496;8004;1032;1512;420
mz7010-som-base-2020-2;10;2024-05-15 00:03:37;865712;876772;57680;5.61;15900;80976;660928;64.27;127220;13412;0;43800;8028;1104;1180;420
mz7010-som-base-2020-2;11;2024-05-15 00:03:47;661132;672208;262212;25.50;15920;81016;660760;64.26;331936;13412;0;248496;8016;1056;1532;420
mz7010-som-base-2020-2;10;2024-05-15 00:03:57;902284;913396;23176;2.25;15936;78888;225468;21.93;93764;11228;4;10144;8012;736;572;420
mz7010-som-base-2020-2;10;2024-05-15 00:04:07;662012;673136;261176;25.40;15960;81116;660852;64.27;332112;13416;0;248508;8032;1024;1552;420
mz7010-som-base-2020-2;10;2024-05-15 00:04:18;661212;672356;261892;25.47;15984;81160;650120;63.22;332144;13416;0;248420;8048;1288;1468;420
mz7010-som-base-2020-2;10;2024-05-15 00:04:28;900040;911200;23016;2.24;15992;81212;236724;23.02;93936;13380;4;10172;8036;744;580;420
mz7010-som-base-2020-2;10;2024-05-15 00:04:38;660808;671980;262220;25.50;16008;81252;660988;64.28;332292;13416;0;248392;8008;1104;1428;420
mz7010-som-base-2020-2;10;2024-05-15 00:04:48;897032;908228;25948;2.52;16020;81308;249880;24.30;97080;13304;0;13020;7988;832;604;420
mz7010-som-base-2020-2;10;2024-05-15 00:04:58;694444;705656;228464;22.22;16040;81352;661296;64.31;298640;13420;0;214664;7996;1176;1612;420
mz7010-som-base-2020-2;11;2024-05-15 00:05:09;661156;672384;261688;25.45;16060;81392;650348;63.25;332460;13420;0;248476;8000;1008;1576;420
mz7010-som-base-2020-2;10;2024-05-15 00:05:19;902168;913424;22804;2.22;16068;79264;225824;21.96;94128;11240;4;10044;7992;736;568;420
mz7010-som-base-2020-2;10;2024-05-15 00:05:29;660528;671784;262184;25.50;16084;81492;661504;64.33;332576;13428;0;248472;8008;1088;1540;420
mz7010-som-base-2020-2;11;2024-05-15 00:05:40;901476;912752;23368;2.27;16096;79360;226136;21.99;94212;11316;0;10032;7996;832;600;420
mz7010-som-base-2020-2;10;2024-05-15 00:05:50;712996;724292;209584;20.38;16112;81588;661196;64.30;279444;13428;0;195220;8016;1176;1432;420
