arm;-1;2024-05-12 14:36:30;LINUX-RESTART	(6 CPU)
# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
arm;10;2024-05-12 14:42:51;1959236;2942500;621384;15.76;42208;1203020;3555212;90.14;520456;1043288;5464;528996;118120;7680;15312;31684
arm;10;2024-05-12 14:43:01;1962516;2950028;613868;15.56;42224;1207096;3555188;90.14;520472;1047252;3404;528848;118264;7680;15320;31684
arm;10;2024-05-12 14:43:11;1954600;2946612;617232;15.65;42240;1211496;3555180;90.14;520488;1051744;7748;528984;118400;7680;15316;31684
arm;10;2024-05-12 14:43:21;1952232;2948784;615068;15.60;42256;1215876;3555180;90.14;520512;1056136;5868;528988;118536;7680;15312;31684
arm;10;2024-05-12 14:43:31;1944828;2945744;618108;15.67;42272;1220088;3555180;90.14;520528;1060364;10080;528988;118672;7680;15312;31700
arm;10;2024-05-12 14:43:41;1946992;2950200;613592;15.56;42288;1222288;3555180;90.14;520544;1062576;4096;528988;118808;7680;15312;31700
arm;10;2024-05-12 14:43:51;1939356;2946576;617220;15.65;42320;1226212;3555180;90.14;520552;1066480;1716;528988;118860;7680;15316;31716
arm;10;2024-05-12 14:44:01;1939056;2950576;612884;15.54;42344;1230296;3555204;90.14;520608;1070584;2764;528988;119388;7696;15308;31724
arm;10;2024-05-12 14:44:11;1934188;2950036;613816;15.56;42424;1234400;3555216;90.14;520680;1074716;4844;529000;119140;7664;15308;31692
arm;10;2024-05-12 14:44:21;1922292;2942520;620708;15.74;42440;1238716;3555216;90.14;520692;1078892;2076;528908;119812;7648;15264;31692
arm;10;2024-05-12 14:44:31;1913112;2938116;625580;15.86;42448;1243316;3555216;90.14;520712;1083608;6628;529000;119512;7648;15316;31676
arm;10;2024-05-12 14:44:41;1920200;2949392;614352;15.58;42464;1247396;3555216;90.14;520716;1087576;4232;528908;119556;7632;15264;31676
arm;10;2024-05-12 14:44:51;1917476;2950864;612800;15.54;42480;1251448;3555216;90.14;520744;1091728;6904;528996;119764;7648;15308;31660
arm;10;2024-05-12 14:45:01;1899520;2937404;626244;15.88;42496;1255840;3555216;90.14;520760;1096068;4056;529000;119868;7648;15316;31676
arm;10;2024-05-12 14:45:11;1901088;2943396;620292;15.73;42516;1260124;3555216;90.14;520772;1100216;3916;528848;119948;7648;15308;31676
arm;10;2024-05-12 14:45:21;1900616;2947316;616444;15.63;42532;1264284;3555216;90.14;520792;1104512;5712;528908;120092;7632;15264;31676
arm;10;2024-05-12 14:45:31;1901224;2952536;611332;15.50;42548;1268628;3555216;90.14;520812;1109068;3652;529000;120236;7632;15316;31660
arm;10;2024-05-12 14:45:41;1887700;2943556;620116;15.72;42564;1273212;3555216;90.14;520820;1113480;8256;529000;120376;7632;15308;31660
arm;10;2024-05-12 14:45:51;1889716;2949568;614048;15.57;42580;1277096;3555216;90.14;520844;1117316;5028;529000;120528;7632;15312;31644
arm;10;2024-05-12 14:46:01;1887484;2951276;612348;15.53;42596;1280872;3555216;90.14;520864;1121044;1088;528908;120668;7616;15264;31644
arm;10;2024-05-12 14:46:11;1884080;2952348;611188;15.50;42612;1285136;3555224;90.14;520880;1125372;4120;528916;120952;7600;15264;31644
arm;10;2024-05-12 14:46:21;1874768;2947396;616092;15.62;42628;1289404;3555224;90.14;520900;1129700;5584;529012;121076;7616;15308;31644
arm;10;2024-05-12 14:46:31;1873640;2950672;612456;15.53;42648;1293660;3555224;90.14;520920;1133964;3524;529012;121564;7616;15312;31644
arm;10;2024-05-12 14:46:41;1869644;2951368;612156;15.52;42668;1298292;3555224;90.14;520940;1138496;8060;529012;121208;7616;15312;31644
arm;10;2024-05-12 14:46:51;1864056;2950384;613128;15.55;42684;1302668;3555224;90.14;520956;1142972;4344;529012;121432;7632;15308;31644
arm;10;2024-05-12 14:47:01;1859364;2950312;613300;15.55;42700;1307120;3555224;90.14;520972;1147440;8804;529012;121484;7632;15316;31644
arm;10;2024-05-12 14:47:11;1857348;2952608;610560;15.48;42720;1311364;3555204;90.14;520992;1151612;6396;528992;121976;7648;15312;31644
arm;10;2024-05-12 14:47:21;1845644;2945668;617928;15.67;42736;1315912;3555204;90.14;521008;1156224;10920;528992;121748;7632;15308;31660
arm;10;2024-05-12 14:47:31;1846488;2950972;612168;15.52;42752;1320300;3555204;90.14;521024;1160556;7836;528992;122260;7632;15312;31676
arm;10;2024-05-12 14:47:42;1840744;2949848;613680;15.56;42776;1324736;3555204;90.14;521044;1164932;5820;528900;122032;7616;15264;31676
arm;10;2024-05-12 14:47:52;1833516;2947148;615996;15.62;42792;1329180;3555204;90.14;521064;1169480;10220;529064;122484;7648;15356;31676
arm;10;2024-05-12 14:48:02;1818292;2936624;626760;15.89;42808;1333660;3555204;90.14;521076;1173924;6920;528976;122448;7632;15308;31676
arm;10;2024-05-12 14:48:12;1827028;2949912;613236;15.55;42824;1338112;3555220;90.14;521092;1178376;4824;528988;122768;7632;15308;31676
arm;10;2024-05-12 14:48:22;1808036;2935360;628144;15.93;42840;1342408;3555220;90.14;521112;1182548;9056;528860;122540;7632;15312;31676
arm;10;2024-05-12 14:48:32;1814020;2945780;617472;15.66;42856;1346708;3555220;90.14;521124;1186928;5724;528916;122912;7616;15264;31676
arm;10;2024-05-12 14:48:42;1810388;2946752;616668;15.64;42872;1351220;3555220;90.14;521144;1191488;4048;529008;122820;7648;15312;31676
arm;10;2024-05-12 14:48:52;1787752;2929060;634212;16.08;42956;1355860;3609928;91.53;521352;1218360;3468;551324;123188;7840;15648;31812
arm;10;2024-05-12 14:49:02;1790736;2936596;626596;15.89;42972;1360276;3555244;90.14;521364;1202468;7652;531004;123388;7712;15316;31724
arm;10;2024-05-12 14:49:12;1800380;2950792;612464;15.53;43008;1364696;3549208;89.99;521472;1203956;584;528196;123420;7632;15100;31636
arm;10;2024-05-12 14:49:22;1798680;2953724;609656;15.46;43024;1369156;3549208;89.99;521472;1208304;2460;483764;123452;7616;15080;31620
arm;10;2024-05-12 14:49:32;1794152;2952192;611188;15.50;43040;1372052;3549208;89.99;521484;1211308;4276;483968;123536;7632;15108;31604
arm;10;2024-05-12 14:49:42;1790676;2953388;609848;15.46;43056;1376568;3549200;89.99;521532;1215852;2612;484012;123820;7632;15108;31636
arm;10;2024-05-12 14:49:52;1786248;2953404;609756;15.46;43072;1380864;3549200;89.99;521544;1220004;1708;483864;124028;7632;15108;31636
arm;10;2024-05-12 14:50:02;1774764;2946336;616824;15.64;43088;1385180;3549200;89.99;521560;1224444;5940;484012;124112;7632;15104;31652
arm;10;2024-05-12 14:50:12;1775192;2951136;612064;15.52;43104;1389448;3549208;89.99;521576;1228532;2096;483872;124160;7632;15108;31652
arm;10;2024-05-12 14:50:22;1770560;2950600;612552;15.53;43120;1393412;3549208;89.99;521576;1232660;2840;490712;124324;7632;15104;31652
