# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
tycho;600;2024-05-03 20:30:00 UTC;-1;2.81;0.00;1.11;0.02;0.00;0.00;0.01;0.00;0.00;96.04
tycho;600;2024-05-03 20:30:00 UTC;0;0.70;0.00;0.60;0.00;0.00;0.00;0.07;0.00;0.00;98.63
tycho;600;2024-05-03 20:30:00 UTC;1;1.49;0.00;0.52;0.01;0.00;0.00;0.00;0.00;0.00;97.98
tycho;600;2024-05-03 20:30:00 UTC;2;1.14;0.00;0.40;0.00;0.00;0.00;0.00;0.00;0.00;98.46
tycho;600;2024-05-03 20:30:00 UTC;3;0.83;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;98.66
tycho;600;2024-05-03 20:30:00 UTC;4;4.96;0.00;1.90;0.03;0.00;0.00;0.00;0.00;0.00;93.11
tycho;600;2024-05-03 20:30:00 UTC;5;5.19;0.00;2.23;0.03;0.00;0.00;0.00;0.00;0.00;92.56
tycho;600;2024-05-03 20:30:00 UTC;6;4.65;0.00;1.37;0.05;0.00;0.00;0.01;0.00;0.00;93.93
tycho;600;2024-05-03 20:30:00 UTC;7;3.53;0.00;1.40;0.03;0.00;0.00;0.00;0.00;0.00;95.04
tycho;600;2024-05-03 20:40:00 UTC;-1;1.79;0.00;0.84;0.02;0.00;0.00;0.01;0.00;0.00;97.34
tycho;600;2024-05-03 20:40:00 UTC;0;0.39;0.00;0.45;0.00;0.00;0.00;0.07;0.00;0.00;99.08
tycho;600;2024-05-03 20:40:00 UTC;1;0.80;0.00;0.32;0.00;0.00;0.00;0.00;0.00;0.00;98.87
tycho;600;2024-05-03 20:40:00 UTC;2;0.55;0.00;0.25;0.01;0.00;0.00;0.00;0.00;0.00;99.20
tycho;600;2024-05-03 20:40:00 UTC;3;0.33;0.00;0.33;0.00;0.00;0.00;0.00;0.00;0.00;99.34
tycho;600;2024-05-03 20:40:00 UTC;4;3.46;0.00;1.68;0.03;0.00;0.00;0.01;0.00;0.00;94.82
tycho;600;2024-05-03 20:40:00 UTC;5;3.78;0.00;1.73;0.04;0.00;0.00;0.01;0.00;0.00;94.44
tycho;600;2024-05-03 20:40:00 UTC;6;3.00;0.00;1.14;0.03;0.00;0.00;0.01;0.00;0.00;95.82
tycho;600;2024-05-03 20:40:00 UTC;7;1.97;0.00;0.86;0.02;0.00;0.00;0.01;0.00;0.00;97.14
tycho;600;2024-05-03 20:50:00 UTC;-1;1.24;0.00;0.64;0.01;0.00;0.00;0.01;0.00;0.00;98.09
tycho;600;2024-05-03 20:50:00 UTC;0;0.26;0.00;0.29;0.00;0.00;0.00;0.05;0.00;0.00;99.40
tycho;600;2024-05-03 20:50:00 UTC;1;0.45;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;99.34
tycho;600;2024-05-03 20:50:00 UTC;2;0.34;0.00;0.18;0.00;0.00;0.00;0.00;0.00;0.00;99.48
tycho;600;2024-05-03 20:50:00 UTC;3;0.24;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;99.51
tycho;600;2024-05-03 20:50:00 UTC;4;2.51;0.00;1.34;0.02;0.00;0.00;0.01;0.00;0.00;96.13
tycho;600;2024-05-03 20:50:00 UTC;5;2.76;0.00;1.54;0.03;0.00;0.00;0.00;0.00;0.00;95.67
tycho;600;2024-05-03 20:50:00 UTC;6;2.28;0.00;0.74;0.03;0.00;0.00;0.01;0.00;0.00;96.94
tycho;600;2024-05-03 20:50:00 UTC;7;1.11;0.00;0.60;0.03;0.00;0.00;0.00;0.00;0.00;98.26
